# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_construct
# Exported by: Sir Francis Billard
setting:	replacespawns 1
weapon_ttt_smokegrenade	1094.176880 718.480225 -143.851883	-1.746 -1.380 -1.779
weapon_ttt_smokegrenade	1092.297485 741.961853 -143.806442	-0.778 -1.561 -0.789
weapon_ttt_smokegrenade	1094.529785 771.458801 -143.827118	-1.218 -1.521 -1.239
weapon_ttt_smokegrenade	1066.812500 774.654968 -143.832504	-1.333 -1.499 -1.356
weapon_ttt_smokegrenade	1069.134888 739.395325 -143.808685	-0.825 -1.558 -0.838
weapon_ttt_smokegrenade	1066.385376 721.206665 -143.854370	-1.799 -1.352 -1.833
weapon_ttt_smokegrenade	1040.295898 723.918152 -143.796234	-0.561 -1.568 -0.568
weapon_ttt_smokegrenade	1041.047852 741.813721 -143.837372	-1.436 -1.479 -1.462
weapon_ttt_smokegrenade	1039.658691 771.465881 -143.859619	-1.918 -1.293 -1.943
ttt_random_weapon	309.722229 -1965.158691 -142.802078	1.899 4.927 -92.543
ttt_random_weapon	-991.799927 -1901.560913 -142.780487	1.536 4.660 -93.765
ttt_random_weapon	-986.201172 -1063.696533 -142.803635	1.916 4.929 -92.503
ttt_random_weapon	-2961.769043 -1367.788330 -57.931328	-1.377 80.976 83.737
ttt_random_weapon	-3039.516602 -1107.562378 -75.359619	2.158 41.257 -92.079
ttt_random_weapon	-3010.724609 -1100.659912 -74.772079	-2.039 -34.054 85.395
ttt_random_weapon	-3040.228516 -1268.970337 -94.761879	1.444 4.906 -93.583
ttt_random_weapon	-3035.887695 -1252.311401 -94.776924	1.615 4.920 -93.193
ttt_random_weapon	-3036.853027 -1240.895874 -94.806870	1.952 4.926 -92.420
ttt_random_weapon	-3033.500244 -1226.660889 -94.789536	1.757 4.928 -92.867
ttt_random_weapon	-3033.409424 -1213.713623 -94.786797	1.726 4.926 -92.938
ttt_random_weapon	-3031.754395 -1201.506226 -94.799133	1.865 4.929 -92.619
ttt_random_weapon	193.587662 53.134640 -146.839676	2.265 5.679 -91.922
ttt_random_weapon	199.238983 24.667656 -146.765991	1.482 5.726 -93.533
ttt_random_weapon	205.141464 -6.791546 -146.806747	1.916 5.709 -92.640
ttt_random_weapon	212.843521 -50.841484 -146.767273	1.334 4.631 -93.541
ttt_random_weapon	219.857330 -95.614922 -146.816742	2.022 5.704 -92.423
ttt_random_weapon	226.243027 -137.538162 -146.802872	1.874 5.711 -92.728
ttt_random_weapon	232.399536 -177.426910 -146.826233	2.122 5.695 -92.217
ttt_random_weapon	311.157684 -156.829086 -146.805923	1.907 5.708 -92.658
ttt_random_weapon	307.279602 -137.677231 -146.809326	1.943 5.711 -92.585
ttt_random_weapon	302.797241 -112.626587 -146.791763	1.712 5.616 -93.248
ttt_random_weapon	295.456421 -77.003738 -146.839203	2.085 5.700 -92.319
ttt_random_weapon	289.229401 -45.494003 -146.832458	1.842 5.709 -92.840
ttt_random_weapon	281.638306 -9.267786 -146.836258	1.702 5.786 -93.149
ttt_random_weapon	272.982239 27.355707 -146.814072	1.555 5.737 -93.471
ttt_random_weapon	265.684265 57.354370 -146.842789	1.939 5.734 -92.650
ttt_random_weapon	259.893982 90.924644 -146.837906	1.376 5.567 -93.559
ttt_random_weapon	1079.318481 824.865967 -142.806046	1.943 4.925 -92.441
ttt_random_weapon	1075.246094 816.646545 -142.794205	1.992 4.122 -91.598
ttt_random_weapon	1074.183105 811.339294 -142.188293	-2.244 1.154 -95.189
ttt_random_weapon	1072.831787 805.774658 -142.838043	2.224 -0.381 -92.108
ttt_random_weapon	1071.414185 798.044922 -142.765594	1.406 5.045 -93.579
ttt_random_weapon	1069.955933 793.107727 -142.146790	-2.619 5.925 -91.441
ttt_random_weapon	1072.131470 339.939819 -142.799850	1.874 4.930 -92.601
ttt_random_weapon	1073.926147 359.615875 -142.790695	1.770 4.927 -92.837
ttt_random_weapon	1071.909790 379.171814 -142.781448	1.666 4.923 -93.076
ttt_random_weapon	-1037.965210 -1051.216187 241.199402	1.882 4.926 -92.582
ttt_random_weapon	-1034.972656 -1072.685791 241.217422	1.679 -6.749 -93.047
ttt_random_weapon	-1039.296997 -1086.878906 241.197144	1.907 4.928 -92.523
ttt_random_weapon	-1038.501831 -1110.102905 241.197906	1.899 4.927 -92.543
ttt_random_weapon	-1035.020874 -1131.752441 241.238586	1.255 -7.998 -93.807
ttt_random_ammo	812.389038 -1116.767700 -143.634003	-0.298 -0.003 0.239
ttt_random_ammo	792.557861 -1115.351929 -143.533890	-1.328 0.025 -1.424
ttt_random_ammo	769.249146 -1116.004150 -143.621002	-0.275 -0.003 0.208
ttt_random_ammo	737.127869 -1117.017822 -143.615814	-0.268 -0.003 0.192
ttt_random_ammo	712.024780 -1118.343872 -143.619247	-0.272 -0.003 0.203
ttt_random_ammo	751.580505 -1114.205444 -143.610840	-0.264 -0.003 0.173
ttt_random_ammo	781.322449 -1117.928345 -143.606049	-0.266 -0.003 0.150
ttt_random_ammo	805.855774 -1117.086426 -143.624573	-0.280 -0.003 0.217
ttt_random_ammo	812.362366 -1102.544678 -143.542343	-1.661 0.028 -1.778
ttt_random_ammo	803.829407 -1098.581055 -143.609222	-0.264 -0.003 0.166
ttt_random_ammo	791.770874 -1100.947754 -143.612473	-0.265 -0.003 0.180
ttt_random_ammo	785.608032 -1098.039307 -143.642044	-0.315 -0.003 0.256
ttt_random_ammo	776.613831 -1099.457764 -143.571365	-1.006 0.002 -0.881
ttt_random_ammo	762.260254 -1099.128052 -143.655060	-0.344 -0.003 0.282
ttt_random_ammo	748.795227 -1098.154175 -143.534912	-1.439 0.026 -1.547
ttt_random_ammo	730.150574 -1101.349976 -143.621002	-0.275 -0.003 0.208
ttt_random_ammo	718.403503 -1101.776733 -143.598419	-0.284 -0.003 0.093
ttt_random_ammo	722.371765 -1084.676270 -143.639984	-0.311 -0.003 0.252
ttt_random_ammo	737.132507 -1084.591187 -143.619247	-0.272 -0.003 0.203
ttt_random_ammo	756.979431 -1086.644897 -143.626404	-0.284 -0.003 0.222
ttt_random_ammo	771.652588 -1086.207275 -143.621002	-0.275 -0.003 0.208
ttt_random_ammo	784.040710 -1084.870728 -143.622772	-0.277 -0.003 0.213
ttt_random_ammo	793.731140 -1084.814453 -143.595444	-0.303 -0.003 0.057
