# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_yucatan
# Exported by: BocciardoLight
setting:	replacespawns 0
ttt_random_weapon	-1034.579468 859.687439 -190.767807	1.512 4.912 -93.429
ttt_random_weapon	-966.313354 865.447388 -190.793121	1.798 4.929 -92.775
ttt_random_weapon	-1126.241699 248.026062 -190.797714	1.850 4.928 -92.656
ttt_random_weapon	-1125.972046 196.689728 -190.793106	1.798 4.929 -92.775
ttt_random_weapon	-1622.465332 -571.524414 -206.806854	1.952 4.926 -92.420
ttt_random_weapon	-1721.540894 -568.222107 -206.779709	1.646 4.922 -93.121
ttt_random_weapon	-1834.668091 -565.875671 -206.775452	1.598 4.919 -93.231
ttt_random_weapon	-2014.847290 -320.234009 -206.776535	1.611 4.920 -93.203
ttt_random_weapon	-2021.641479 -83.178017 -206.793106	1.798 4.929 -92.775
ttt_random_weapon	-2115.893311 1183.104614 -217.030396	-14.804 -7.678 90.292
ttt_random_weapon	-2046.826050 1182.044067 -216.036575	-1.398 -5.964 89.022
ttt_random_weapon	-1649.885010 973.193237 -219.333252	-5.488 -6.175 89.600
ttt_random_weapon	-2626.729980 -508.247559 -220.327682	-0.497 0.390 -93.721
ttt_random_weapon	-2889.236328 -1037.775024 -222.771149	2.920 5.974 -92.883
ttt_random_weapon	-2957.552490 -1014.533447 -222.005188	3.267 2.849 -92.792
ttt_random_weapon	-998.860474 -1626.122314 -222.793747	1.805 4.927 -92.758
ttt_random_weapon	-1109.115234 -1623.714844 -222.780563	1.656 4.923 -93.099
ttt_random_weapon	-1206.749756 -1623.426270 -222.779709	1.646 4.922 -93.121
ttt_random_weapon	-306.657379 -1387.030273 -227.300323	2.682 -20.357 92.649
ttt_random_weapon	-347.582092 -1388.271851 -227.762421	-0.808 -6.565 90.758
ttt_random_weapon	173.478088 -2116.248047 6.755229	2.743 3.218 -97.155
ttt_random_weapon	175.341888 -2159.075195 6.331133	-1.500 -2.215 -110.280
ttt_random_weapon	173.888733 -2221.653320 6.890232	2.946 2.932 -95.018
ttt_random_weapon	432.009918 -1550.260986 -213.748611	5.872 17.610 74.785
ttt_random_weapon	366.178101 -1594.489014 -208.410248	-4.326 -0.533 -101.388
ttt_random_weapon	367.239197 -322.308044 -222.969910	0.189 9.300 -92.241
ttt_random_weapon	375.730438 -372.218445 -223.393814	-0.088 6.250 -92.078
ttt_random_weapon	395.149384 -425.367737 -221.480301	-1.600 3.530 -96.799
ttt_random_weapon	-506.914337 -504.774292 -190.770691	1.544 4.915 -93.355
ttt_random_weapon	-263.012939 -505.391296 -190.785004	1.706 4.768 -92.984
ttt_random_weapon	-24.021807 -507.052643 -190.788971	1.751 4.927 -92.882
ttt_random_weapon	-687.245850 106.121056 -511.190918	3.325 10.227 -92.243
ttt_random_weapon	-664.896667 150.545258 -519.496277	13.433 -2.091 -102.493
ttt_random_weapon	-654.879456 184.026917 -526.793335	13.748 12.337 -100.223
ttt_random_weapon	315.435028 582.356995 -515.019653	-13.766 17.050 71.830
ttt_random_weapon	366.603882 595.281982 -506.838013	-8.824 16.536 80.157
ttt_random_weapon	275.432922 568.219788 -518.749207	-24.572 -43.461 71.737
ttt_random_weapon	1895.647827 1387.659912 -533.223633	1.091 2.794 -103.291
ttt_random_weapon	1949.211548 1384.269165 -534.398865	4.259 1.514 -97.075
